week_date,week_count,sui1,sui2,sui3,neg,pos,pre
2008-07-06,9,24,0,32,1.498,0.577,9
2008-07-13,18,25,100,61,0.82,1.47,18
2008-07-20,15,100,0,29,0.689,0.882,15
2008-07-27,11,0,80,91,0.613,0.837,11
2008-08-03,10,25,0,32,1.23,0.888,10
2008-08-10,10,24,0,25,1.046,1.22,10
2008-08-17,13,22,0,69,1.174,0.626,13
2008-08-24,13,0,0,30,0.833,0.966,13
2008-08-31,17,100,89,27,1.269,0.593,17
2008-09-07,12,26,0,26,0.751,0.776,12
2008-09-14,17,25,0,42,1.437,0.798,17
2008-09-21,15,25,0,29,1.107,1.491,15
2008-09-28,10,30,0,91,0.571,1.182,10
2008-10-05,10,0,0,26,0.683,0.511,10
2008-10-12,5,100,0,32,0.556,1.317,5
2008-10-19,24,52,0,41,1.443,0.659,24
2008-10-26,12,46,0,100,1.34,0.811,12
2008-11-02,11,25,0,28,1.047,1.319,11
2008-11-09,16,26,96,49,0.904,0.802,16
2008-11-16,9,0,0,30,1.265,0.548,9
2008-11-23,4,35,100,36,0.985,1.215,4
2008-11-30,19,25,0,25,0.961,0.63,19
2008-12-07,14,46,86,0,1.424,0.691,14
2008-12-14,17,27,100,27,1.099,0.539,17
2008-12-21,15,24,0,91,0.807,0.961,15
2008-12-28,13,39,80,79,0.59,1.259,13
2009-01-04,15,25,0,29,0.626,0.972,15
2009-01-11,13,100,86,91,0.863,1.384,13
2009-01-18,16,0,0,29,1.46,0.931,16
2009-01-25,10,27,100,61,1.247,0.751,10
2009-02-01,14,30,0,56,1.276,1.145,14
2009-02-08,22,28,80,27,1.489,0.714,22
2009-02-15,21,0,0,28,0.625,1.228,21
2009-02-22,14,25,0,32,0.717,1.377,14
2009-03-01,18,0,100,56,0.511,0.557,18
2009-03-08,15,36,0,29,1.449,1.117,15
2009-03-15,12,49,0,47,1.077,1.016,12
2009-03-22,19,28,0,69,0.862,1.461,19
2009-03-29,14,0,0,91,0.997,0.893,14
2009-04-05,14,0,0,79,1.489,1.33,14
2009-04-12,7,0,0,28,0.681,0.692,7
2009-04-19,15,0,100,28,0.57,1.293,15
2009-04-26,14,47,0,61,0.984,0.871,14
2009-05-03,17,36,0,100,0.992,0.78,17
2009-05-10,7,100,0,41,0.729,1.187,7
2009-05-17,21,28,0,32,1.02,1.445,21
2009-05-24,15,0,0,30,1.214,0.691,15
2009-05-31,8,0,0,30,1.136,1.089,8
2009-06-07,14,24,0,27,1.48,0.743,14
